sequence,source_index,source_time_s,replay_cycle,capture_s,output_s,processing_ms,frame_age_ms,core_ms,distance_render_ms,depth_age_ms,depth_valid,depth_status,edge_pixels,valid_depth_edge_pixels
37,37,3.7,0,215631.5920895,215631.6217264,29.11659999517724,29.636899998877198,25.429800007259473,2.313100005267188,0.0,True,ok,3805,3805
38,38,3.8000000000000003,0,215631.6255294,215631.6506027,24.538100027712062,25.07330002845265,20.42370001436211,2.7388999878894538,0.0,True,ok,3921,3921
39,39,3.9000000000000004,0,215631.659174,215631.684803,24.825500004226342,25.62900001066737,21.273999998811632,2.185499994084239,0.0,True,ok,3864,3864
40,40,4.0,0,215631.6924411,215631.7163772,23.462100012693554,23.936100013088435,20.002400007797405,2.158000017516315,0.0,True,ok,3828,3828
41,41,4.1000000000000005,0,215631.7256228,215631.7490536,22.76780002284795,23.430800007190555,19.554600003175437,1.936899992870167,0.0,True,ok,3659,3659
42,42,4.2,0,215631.7589836,215631.7858312,26.342299999669194,26.847599976463243,20.828999986406416,4.23890000092797,0.0,True,ok,3989,3989
43,43,4.3,0,215631.7923491,215631.8175907,24.768300005234778,25.241600000299513,21.284099988406524,2.1772999898530543,0.0,True,ok,4294,4294
44,44,4.4,0,215631.8259398,215631.8519116,25.329900003271177,25.971800001570955,21.76319999853149,2.32170001254417,0.0,True,ok,4623,4623
45,45,4.5,0,215631.858799,215631.8880475,28.77119998447597,29.24849998089485,24.92649998748675,2.501300012227148,0.0,True,ok,4708,4708
46,46,4.6000000000000005,0,215631.8921499,215631.9167899,24.0330999949947,24.639999988721684,20.575599977746606,2.1265000104904175,0.0,True,ok,4834,4834
47,47,4.7,0,215631.9255349,215631.951145,24.94870001100935,25.610100012272596,20.710299984784797,2.900699997553602,0.0,True,ok,4677,4677
48,48,4.800000000000001,0,215631.9590379,215631.9833197,23.80329999141395,24.28179999697022,20.336199988378212,2.183300006436184,0.0,True,ok,4591,4591
49,49,4.9,0,215631.9923792,215632.0181801,25.36980001605116,25.80090000992641,20.35880001494661,3.6723999946843833,0.0,True,ok,4442,4442
50,50,5.0,0,215632.0258108,215632.0499131,23.625300003914163,24.102299998048693,19.98810001532547,2.3098000092431903,0.0,True,ok,4408,4408
51,51,5.1000000000000005,0,215632.0588473,215632.0847207,25.319999986095354,25.87339997990057,20.40769997984171,3.6115999973844737,0.0,True,ok,4418,4418
52,52,5.2,0,215632.0925311,215632.1196232,26.51009999681264,27.092100004665554,22.90420001372695,2.067699999315664,0.0,True,ok,4600,4600
53,53,5.300000000000001,0,215632.1259269,215632.1511478,24.75630000117235,25.220900017302483,21.245500014629215,2.1852999925613403,0.0,True,ok,4489,4489
54,54,5.4,0,215632.1593043,215632.1843136,24.565800005802885,25.00930000678636,20.784899999853224,2.4508000060450286,0.0,True,ok,4625,4625
55,55,5.5,0,215632.1923362,215632.2189339,25.883900001645088,26.59769999445416,21.61349999369122,2.952100010588765,0.0,True,ok,4379,4379
56,56,5.6000000000000005,0,215632.2256696,215632.2495446,23.400200007017702,23.874999984400347,19.685499981278554,2.3877000203356147,0.0,True,ok,4212,4212
57,57,5.7,0,215632.2593127,215632.2869688,27.186599996639416,27.656100020976737,22.27729998412542,3.4553000004962087,0.0,True,ok,4229,4229
58,58,5.800000000000001,0,215632.2923414,215632.3174528,24.074299988569692,25.111399998422712,20.447099988814443,2.2376000124495476,0.0,True,ok,4294,4294
59,59,5.9,0,215632.3259553,215632.3539696,27.549799997359514,28.01429998362437,23.87450000969693,2.278100000694394,0.0,True,ok,4337,4337
60,60,6.0,0,215632.3589387,215632.3882221,28.79179999581538,29.283400013810024,23.427599982824177,4.109299974516034,0.0,True,ok,4334,4334
61,61,6.1000000000000005,0,215632.3925136,215632.4166859,23.559499997645617,24.17230000719428,19.836899999063462,2.328800008399412,0.0,True,ok,4169,4169
62,62,6.2,0,215632.4257006,215632.4507064,24.53409999725409,25.005800009239465,20.872499997494742,2.2108999837655574,0.0,True,ok,4172,4172
63,63,6.300000000000001,0,215632.4590233,215632.4852475,25.552500010235235,26.22420000261627,21.926000015810132,2.261799992993474,0.0,True,ok,4147,4147
64,64,6.4,0,215632.4925027,215632.5177927,24.272500013466924,25.289999990491197,20.6418999878224,2.296899998327717,0.0,True,ok,4178,4178
65,65,6.5,0,215632.5253472,215632.549931,24.0672999934759,24.583799997344613,20.573999994667247,2.1662000217474997,0.0,True,ok,4169,4169
66,66,6.6000000000000005,0,215632.5587951,215632.5827397,23.475199996028095,23.944600019603968,19.94070000364445,2.1838000102434307,0.0,True,ok,4168,4168
67,67,6.7,0,215632.5922834,215632.619296,26.28809999441728,27.01259998138994,22.7457000000868,2.109199995175004,0.0,True,ok,4086,4086
68,68,6.800000000000001,0,215632.6257053,215632.6517481,25.368800008436665,26.042800018331036,21.620600018650293,2.351900009671226,0.0,True,ok,4379,4379
69,69,6.9,0,215632.659016,215632.6907849,30.789600015850738,31.768900022143498,26.79939998779446,2.5698000099509954,0.0,True,ok,4282,4282
70,70,7.0,0,215632.6925717,215632.7203042,27.05109998350963,27.73249999154359,21.9574999937322,3.7376000254880637,0.0,True,ok,4247,4247
71,71,7.1000000000000005,0,215632.7257245,215632.7525737,26.204200024949387,26.849200017750263,21.11709999735467,3.559700009645894,0.0,True,ok,4354,4354
72,72,7.2,0,215632.7591905,215632.7853811,25.71039999020286,26.19060000870377,22.190399991814047,2.1707999985665083,0.0,True,ok,4628,4628
73,73,7.300000000000001,0,215632.7925056,215632.8258815,32.22610001103021,33.37590000592172,27.82620000652969,2.9295999847818166,0.0,True,ok,4287,4287
74,74,7.4,0,215632.8256138,215632.8499353,23.521199997048825,24.321500008227304,19.91860000998713,2.1923999884165823,0.0,True,ok,4455,4455
75,75,7.5,0,215632.8592297,215632.884781,24.810400005662814,25.551300001097843,20.929899998009205,2.1721000084653497,0.0,True,ok,4560,4560
76,76,7.6000000000000005,0,215632.8922994,215632.9185667,25.596999999834225,26.2673000106588,20.64629999222234,3.505999979097396,0.0,True,ok,4662,4662
77,77,7.7,0,215632.9258126,215632.9503269,24.039399984758347,24.514299992006272,20.41669999016449,2.1973999973852187,0.0,True,ok,4381,4381
78,78,7.800000000000001,0,215632.9591617,215632.9840295,24.273999995784834,24.867799977073446,20.579999982146546,2.0469999872148037,0.0,True,ok,4350,4350
79,79,7.9,0,215632.992448,215633.01782,24.749400006840006,25.372000003699213,20.824900013394654,2.5550999853294343,0.0,True,ok,4058,4058
80,80,8.0,0,215633.025985,215633.0497219,23.27169998898171,23.73690000968054,19.938199984608218,1.958799985004589,0.0,True,ok,4074,4074
81,81,8.1,0,215633.0588324,215633.0824612,22.94720002100803,23.62880000146106,19.448200007900596,2.16760000330396,0.0,True,ok,4079,4079
82,82,8.200000000000001,0,215633.0922005,215633.1158267,22.98989999690093,23.626200010767207,19.203899981221184,2.410099987173453,0.0,True,ok,4288,4288
83,83,8.3,0,215633.1255366,215633.1522691,26.03170002112165,26.7325000022538,21.275200007949024,3.101999987848103,0.0,True,ok,4269,4269
84,84,8.4,0,215633.1592064,215633.1852921,25.49260001978837,26.085699995746836,21.988899999996647,2.1610999829135835,0.0,True,ok,3996,3996
85,85,8.5,0,215633.192422,215633.2228541,29.912400001194328,30.43210000032559,25.870700017549098,2.4397999804932624,0.0,True,ok,4318,4318
86,86,8.6,0,215633.225866,215633.2526894,26.209799980279058,26.823399995919317,20.29799998854287,4.451999993762001,0.0,True,ok,4410,4410
87,87,8.700000000000001,0,215633.2592449,215633.2832828,23.438300006091595,24.037900002440438,19.936199998483062,2.084399980958551,0.0,True,ok,4345,4345
88,88,8.8,0,215633.2927552,215633.3168494,23.495900008128956,24.094199994578958,19.986500003142282,2.1524999756366014,0.0,True,ok,3995,3995
89,89,8.9,0,215633.3256982,215633.3569669,30.793000012636185,31.268699996871874,26.798100006999448,2.647299988893792,0.0,True,ok,4114,4114
90,90,9.0,0,215633.3589258,215633.3857052,26.324400008888915,26.779399981023744,22.717999992892146,2.2541999933309853,0.0,True,ok,4407,4407
91,91,9.1,0,215633.3924725,215633.418241,25.02900001127273,25.768499996047467,20.624500000849366,2.982899983180687,0.0,True,ok,4504,4504
92,92,9.200000000000001,0,215633.4261552,215633.4512168,24.26730000297539,25.061599997570738,20.633599982829764,2.2702999995090067,0.0,True,ok,4602,4602
93,93,9.3,0,215633.459071,215633.4837186,24.202700005844235,24.647600017488003,20.44779999414459,2.2900999756529927,0.0,True,ok,4719,4719
94,94,9.4,0,215633.4921876,215633.5166623,23.532799998065457,24.47470001061447,19.551699981093407,2.3954000207595527,0.0,True,ok,4623,4623
95,95,9.5,0,215633.5258655,215633.5518497,25.087499991059303,25.98419997957535,21.26670000143349,2.3244000039994717,0.0,True,ok,4555,4555
96,96,9.600000000000001,0,215633.559011,215633.5870552,27.587900025537238,28.044200007570907,21.352499985368922,4.374900017865002,0.0,True,ok,4902,4902
97,97,9.700000000000001,0,215633.5923808,215633.618552,25.36959998542443,26.17120000650175,21.923599997535348,2.031900017755106,0.0,True,ok,4793,4793
98,98,9.8,0,215633.6259245,215633.6499622,23.38389999931678,24.03770000091754,19.743600016226992,2.1597000013571233,0.0,True,ok,4857,4857
99,99,9.9,0,215633.659289,215633.6839125,24.139400018611923,24.623500008601695,20.55260000634007,2.150499989511445,0.0,True,ok,4985,4985
100,100,10.0,0,215633.6925307,215633.7220717,28.829599992604926,29.540999996243045,24.336300004506484,3.0485000170301646,0.0,True,ok,4973,4973
101,101,10.100000000000001,0,215633.7256067,215633.7529491,26.888699998380616,27.342399989720434,21.975999989081174,3.2436999899800867,0.0,True,ok,4507,4507
102,102,10.200000000000001,0,215633.7591289,215633.7848829,25.20240002195351,25.754000002052635,21.719200012739748,2.072200004477054,0.0,True,ok,4834,4834
103,103,10.3,0,215633.7925849,215633.816596,23.52619997691363,24.01110000209883,20.01219999510795,2.044200024101883,0.0,True,ok,4943,4943
104,104,10.4,0,215633.8256474,215633.8544865,28.148100012913346,28.839100006734952,23.885800008429214,2.7592999977059662,0.0,True,ok,5082,5082
105,105,10.5,0,215633.858858,215633.8826563,23.353900003712624,23.798300011549145,19.758000009460375,2.1467000187840313,0.0,True,ok,4986,4986
106,106,10.600000000000001,0,215633.8921437,215633.9180638,25.34429999650456,25.920099986251444,21.802100003696978,2.1250999998301268,0.0,True,ok,5037,5037
107,107,10.700000000000001,0,215633.9255059,215633.9543917,27.740400022594258,28.885800013085827,22.796899982495233,2.1692999871447682,0.0,True,ok,5162,5162
108,108,10.8,0,215633.9590115,215633.9897896,29.938299994682893,30.778099986491725,24.983200011774898,3.4214000042993575,0.0,True,ok,4884,4884
109,109,10.9,0,215633.9924025,215634.0170298,23.624800000106916,24.62729997932911,20.18239998142235,2.0253999973647296,0.0,True,ok,4890,4890
110,110,11.0,0,215634.0259009,215634.0498754,23.349199997028336,23.974500014446676,19.49350000359118,2.4267999979201704,0.0,True,ok,4848,4848
111,111,11.100000000000001,0,215634.0591828,215634.0830417,23.14580001984723,23.858900007326156,19.575599988456815,2.1556000283453614,0.0,True,ok,5030,5030
112,112,11.200000000000001,0,215634.0924568,215634.1187198,25.62120000948198,26.26300000702031,21.47429998149164,2.494600019417703,0.0,True,ok,5114,5114
113,113,11.3,0,215634.1259185,215634.1521129,25.601299974368885,26.194399979431182,21.820199996000156,2.2664999996777624,0.0,True,ok,5293,5293
114,114,11.4,0,215634.1588383,215634.1856582,26.303499995265156,26.81989999837242,21.975899988319725,2.8421999886631966,0.0,True,ok,5423,5423
115,115,11.5,0,215634.1922648,215634.217566,24.273999995784834,25.30120001756586,20.54990001488477,2.254099992569536,0.0,True,ok,5340,5340
116,116,11.600000000000001,0,215634.2257262,215634.2528228,26.431499980390072,27.096599980723113,22.688099998049438,2.279000007547438,0.0,True,ok,5279,5279
117,117,11.700000000000001,0,215634.2590754,215634.2841843,23.973000003024936,25.10889997938648,20.284300000639632,2.2243999992497265,0.0,True,ok,5498,5498
118,118,11.8,0,215634.2925878,215634.3208731,27.294400002574548,28.28529998078011,23.073799995472655,2.573900012066588,0.0,True,ok,5517,5517
119,119,11.9,0,215634.3256606,215634.3540856,27.93579999706708,28.424999996786937,23.670900001889095,2.7800999814644456,0.0,True,ok,5266,5266
120,0,0.0,1,215634.3612467,215634.391336,29.432400013320148,30.089300009422004,25.433700007852167,2.321100007975474,0.0,True,ok,4708,4708
121,1,0.1,1,215634.3924748,215634.4193458,26.09400000073947,26.871000009123236,22.58249997976236,2.0504999847617,0.0,True,ok,4681,4681
122,2,0.2,1,215634.425869,215634.4555954,29.094700003042817,29.726400010986254,25.149299995973706,2.354700001887977,0.0,True,ok,4360,4360
123,3,0.30000000000000004,1,215634.4588076,215634.4855639,26.020599994808435,26.75630000885576,22.23160001449287,2.3166000028140843,0.0,True,ok,4532,4532
124,4,0.4,1,215634.4925175,215634.5200186,26.2419999926351,27.501099975779653,22.759600018616766,2.023999986704439,0.0,True,ok,4533,4533
125,5,0.5,1,215634.5254683,215634.5533103,27.19349999097176,27.841999981319532,22.349200007738546,3.0192999984137714,0.0,True,ok,4334,4334
126,6,0.6000000000000001,1,215634.558879,215634.5863916,26.845699991099536,27.512600005138665,21.574799990048632,3.82689997786656,0.0,True,ok,4462,4462
127,7,0.7000000000000001,1,215634.592245,215634.6188825,25.964100001147017,26.637500006472692,22.371500002918765,1.9745999888982624,0.0,True,ok,4479,4479
128,8,0.8,1,215634.6259454,215634.6508417,24.293399997986853,24.896299990359694,20.577000017510727,2.0898999937344342,0.0,True,ok,4534,4534
129,9,0.9,1,215634.6592834,215634.6877785,27.600300003541633,28.495100006693974,20.628599973861128,4.919800005154684,0.0,True,ok,4491,4491
130,10,1.0,1,215634.692286,215634.7169067,23.979199992027134,24.620699987281114,19.95889999670908,2.348200010601431,0.0,True,ok,4600,4600
131,11,1.1,1,215634.7259751,215634.7555946,29.15930000017397,29.619499982800335,25.45559999998659,2.1544000192079693,0.0,True,ok,4781,4781
132,12,1.2000000000000002,1,215634.7591028,215634.7852615,25.644699984695762,26.158699998632073,22.094699990702793,2.1158999879844487,0.0,True,ok,5044,5044
133,13,1.3,1,215634.7923973,215634.8205808,27.73110000998713,28.183499991428107,22.05210001557134,2.3458999930880964,0.0,True,ok,4620,4620
134,14,1.4000000000000001,1,215634.8254743,215634.8550617,29.110199975548312,29.58739997120574,24.91329997428693,2.614299999549985,0.0,True,ok,4785,4785
135,15,1.5,1,215634.8590435,215634.8835985,24.084499978926033,24.554999981774017,20.30989999184385,2.2828999790363014,0.0,True,ok,5045,5045
136,16,1.6,1,215634.8922153,215634.9174142,24.58399999886751,25.19889999530278,20.75860000331886,2.308800001628697,0.0,True,ok,5382,5382
137,17,1.7000000000000002,1,215634.9256004,215634.954302,27.478300005896017,28.70160000748001,22.428900003433228,2.8460000175982714,0.0,True,ok,5312,5312
138,18,1.8,1,215634.9593229,215634.9836139,23.684099985985085,24.2910000088159,19.973899994511157,2.159600000595674,0.0,True,ok,5363,5363
139,19,1.9000000000000001,1,215634.9921425,215635.0165476,23.712299996986985,24.40510000451468,19.969799992395565,2.202400006353855,0.0,True,ok,5455,5455
140,20,2.0,1,215635.0255651,215635.0549496,28.73989997897297,29.38449999783188,23.472100001526996,3.073600004427135,0.0,True,ok,5508,5508
141,21,2.1,1,215635.0591189,215635.084672,24.94599999045022,25.5530999857001,20.990799996070564,2.217500004917383,0.0,True,ok,5300,5300
142,22,2.2,1,215635.0926326,215635.1188336,25.556799984769896,26.201000000583008,20.88029999868013,3.191700001480058,0.0,True,ok,5384,5384
143,23,2.3000000000000003,1,215635.1257124,215635.1511583,24.995299987494946,25.445899984333664,20.971199992345646,2.30679998639971,0.0,True,ok,5355,5355
144,24,2.4000000000000004,1,215635.1589039,215635.1828799,23.51769999950193,23.975999996764585,19.753799977479503,2.2999000211711973,0.0,True,ok,5072,5072
145,25,2.5,1,215635.1923174,215635.2182714,24.8866000038106,25.953999982448295,20.390899997437373,2.407299994956702,0.0,True,ok,4851,4851
146,26,2.6,1,215635.2257306,215635.2498896,23.67480000248179,24.15899999323301,20.072000013897195,2.1287999988999218,0.0,True,ok,4933,4933
147,27,2.7,1,215635.2592038,215635.2853845,25.722499995026737,26.180699991527945,20.732499979203567,3.131100005703047,0.0,True,ok,4889,4889
