sequence,source_index,source_time_s,replay_cycle,capture_s,output_s,processing_ms,frame_age_ms,core_ms,distance_render_ms,depth_age_ms,depth_valid,depth_status,edge_pixels,valid_depth_edge_pixels
50,50,5.0,0,215323.6851349,215323.6918665,6.067000009352341,6.731600005878136,2.317799982847646,2.378799981670454,0.0,True,ok,4408,4408
51,51,5.1000000000000005,0,215323.7187058,215323.7254432,6.267599994316697,6.737399991834536,2.4225999950431287,2.425000013317913,0.0,True,ok,4418,4418
52,52,5.2,0,215323.7516418,215323.7581601,5.923599994275719,6.518300011521205,2.595199999632314,2.04159997520037,0.0,True,ok,4600,4600
53,53,5.300000000000001,0,215323.7854102,215323.7920652,5.813499999931082,6.654999975580722,2.3717999865766615,2.1829000033903867,0.0,True,ok,4489,4489
54,54,5.4,0,215323.8184929,215323.8250999,5.956899985903874,6.606999988434836,2.2621999960392714,2.3936000070534647,0.0,True,ok,4625,4625
55,55,5.5,0,215323.8520371,215323.8595092,6.7057000123895705,7.4720999982673675,3.0599000165238976,2.4058999842964113,0.0,True,ok,4379,4379
56,56,5.6000000000000005,0,215323.8851621,215323.8914644,5.7631999952718616,6.302299996605143,2.453199995215982,2.0674999977927655,0.0,True,ok,4212,4212
57,57,5.7,0,215323.9186477,215323.9250112,5.795399978524074,6.36349999695085,2.297200000612065,2.1773999906145036,0.0,True,ok,4229,4229
58,58,5.800000000000001,0,215323.9517947,215323.9584184,6.02719999733381,6.623699999181554,2.263600006699562,2.4141000176314265,0.0,True,ok,4294,4294
59,59,5.9,0,215323.9853476,215323.9918126,5.993200000375509,6.464999984018505,2.4182999914046377,2.2247000015340745,0.0,True,ok,4337,4337
60,60,6.0,0,215324.0187198,215324.0250424,5.791100003989413,6.322600005660206,2.346699999179691,2.140800002962351,0.0,True,ok,4334,4334
61,61,6.1000000000000005,0,215324.0520092,215324.0583181,5.765899986727163,6.308899988653138,2.2714000078849494,2.2105000098235905,0.0,True,ok,4169,4169
62,62,6.2,0,215324.0849924,215324.0906162,5.163599998923019,5.623800010653213,2.128599997377023,1.7930000030901283,0.0,True,ok,4172,4172
63,63,6.300000000000001,0,215324.1187628,215324.1265737,7.284399995114654,7.810899987816811,3.7130999844521284,2.198400004999712,0.0,True,ok,4147,4147
64,64,6.4,0,215324.1518739,215324.1581891,5.743000016082078,6.315200007520616,2.3625000030733645,2.0927000150550157,0.0,True,ok,4178,4178
65,65,6.5,0,215324.185391,215324.1916519,5.593700014287606,6.2609000015072525,2.1573000121861696,2.04459999804385,0.0,True,ok,4169,4169
66,66,6.6000000000000005,0,215324.2184706,215324.2246729,5.64489999669604,6.202299991855398,2.276800019899383,2.105199993820861,0.0,True,ok,4168,4168
