clip,frame,time_s,mode,post_ms,core_ms,processing_ms,alpha_area_px,status
thermal_assumed,12,1.2,legacy_3,0.4791000101249665,19.371300004422665,19.85040001454763,9895.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,12,1.2,thin_3,2.074699994409457,19.371300004422665,21.44599999883212,6872.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,12,1.2,banded,2.103000006172806,19.371300004422665,21.47430001059547,5847.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,12,1.2,continuous,2.9559000104200095,19.371300004422665,22.327200014842674,5899.8046875,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,12,1.2,smooth,2.587299997685477,19.371300004422665,21.958600002108142,5862.5146484375,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,13,1.3,legacy_3,1.0096000041812658,18.82970001315698,19.839300017338246,9003.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,13,1.3,thin_3,4.39889999688603,18.82970001315698,23.22860001004301,6083.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,13,1.3,banded,5.005400016671047,18.82970001315698,23.835100029828027,5241.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,13,1.3,continuous,6.199799972819164,18.82970001315698,25.029499985976145,5322.95703125,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,13,1.3,smooth,6.341600004816428,18.82970001315698,25.171300017973408,5289.83447265625,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,14,1.4,legacy_3,0.49199999193660915,19.18539998587221,19.677399977808818,9324.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,14,1.4,thin_3,2.2441000037360936,19.18539998587221,21.429499989608303,6441.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,14,1.4,banded,2.3419999924954027,19.18539998587221,21.52739997836761,6202.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,14,1.4,continuous,3.0260999919846654,19.18539998587221,22.211499977856874,6179.314453125,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,14,1.4,smooth,3.0199000029824674,19.18539998587221,22.205299988854676,6142.4462890625,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,15,1.5,legacy_3,1.208700006827712,19.58829999784939,20.797000004677102,9887.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,15,1.5,thin_3,3.4558000043034554,19.58829999784939,23.044100002152845,6851.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,15,1.5,banded,2.2576999908778816,19.58829999784939,21.84599998872727,6808.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,15,1.5,continuous,2.9029000143054873,19.58829999784939,22.491200012154877,6782.9931640625,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,15,1.5,smooth,2.7512000233400613,19.58829999784939,22.33950002118945,6744.6572265625,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,16,1.6,legacy_3,0.4467999970074743,19.359300000360236,19.80609999736771,10509.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,16,1.6,thin_3,2.1686000109184533,19.359300000360236,21.52790001127869,7309.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,16,1.6,banded,2.334300021175295,19.359300000360236,21.69360002153553,7163.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,16,1.6,continuous,2.937399985967204,19.359300000360236,22.29669998632744,7199.21044921875,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,16,1.6,smooth,2.901400002883747,19.359300000360236,22.260700003243983,7159.06982421875,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,17,1.7,legacy_3,0.4845999937970191,18.91850001993589,19.40310001373291,10368.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,17,1.7,thin_3,2.005100017413497,18.91850001993589,20.923600037349388,7043.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,17,1.7,banded,2.131000015651807,18.91850001993589,21.049500035587698,7476.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,17,1.7,continuous,3.042500000447035,18.91850001993589,21.961000020382926,7415.6875,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,17,1.7,smooth,4.369299975223839,18.91850001993589,23.28779999515973,7375.91796875,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,18,1.8,legacy_3,0.48340001376345754,20.56010000524111,21.04350001900457,10638.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,18,1.8,thin_3,1.9978000200353563,20.56010000524111,22.557900025276467,7408.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,18,1.8,banded,2.22829999984242,20.56010000524111,22.78840000508353,8123.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,18,1.8,continuous,2.7017999964300543,20.56010000524111,23.261900001671165,8008.57470703125,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,18,1.8,smooth,2.6301000034436584,20.56010000524111,23.19020000868477,7968.5390625,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,19,1.9,legacy_3,0.5567000189330429,19.238000008044764,19.794700026977807,10628.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,19,1.9,thin_3,3.25070001417771,19.238000008044764,22.488700022222474,7261.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,19,1.9,banded,2.296400023624301,19.238000008044764,21.534400031669065,8010.0,ASSUMED DEPTH - NOT SENSOR DATA
